CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION
fsp-165587,dbo,UK_ReservationTypeProfileDocumentationChecks_ReservationTypeIdCompanyIdActivityRoleDocumentationTypeId,fsp-165587,dbo,ReservationTypeProfileDocumentationChecks,ReservationTypeId,1
fsp-165587,dbo,UK_ReservationTypeProfileDocumentationChecks_ReservationTypeIdCompanyIdActivityRoleDocumentationTypeId,fsp-165587,dbo,ReservationTypeProfileDocumentationChecks,CompanyId,2
fsp-165587,dbo,UK_ReservationTypeProfileDocumentationChecks_ReservationTypeIdCompanyIdActivityRoleDocumentationTypeId,fsp-165587,dbo,ReservationTypeProfileDocumentationChecks,ActivityRole,3
fsp-165587,dbo,UK_ReservationTypeProfileDocumentationChecks_ReservationTypeIdCompanyIdActivityRoleDocumentationTypeId,fsp-165587,dbo,ReservationTypeProfileDocumentationChecks,DocumentationTypeId,4
fsp-165587,dbo,PK_ReservationTypeRoleJoiner,fsp-165587,dbo,ReservationTypeRoleJoiner,_RowId,1
fsp-165587,dbo,UK_ReservationTypeRoleJoiner_ReservationTypeIdRoleId,fsp-165587,dbo,ReservationTypeRoleJoiner,ReservationTypeId,1
fsp-165587,dbo,UK_ReservationTypeRoleJoiner_ReservationTypeIdRoleId,fsp-165587,dbo,ReservationTypeRoleJoiner,RoleId,2
fsp-165587,dbo,PK_SalesTransactionLineItems,fsp-165587,dbo,SalesTransactionLineItems,_RowNumber,1
fsp-165587,dbo,UK_SalesTransactionLineItems,fsp-165587,dbo,SalesTransactionLineItems,OperatorId,1
fsp-165587,dbo,UK_SalesTransactionLineItems,fsp-165587,dbo,SalesTransactionLineItems,SalesTransactionId,2
fsp-165587,dbo,UK_SalesTransactionLineItems,fsp-165587,dbo,SalesTransactionLineItems,LineItemId,3
fsp-165587,dbo,PK_SalesTransactionLineItemsDeleted,fsp-165587,dbo,SalesTransactionLineItemsDeleted,_RowNumber,1
fsp-165587,dbo,UK_SalesTransactionLineItemsDeleted,fsp-165587,dbo,SalesTransactionLineItemsDeleted,OperatorId,1
fsp-165587,dbo,UK_SalesTransactionLineItemsDeleted,fsp-165587,dbo,SalesTransactionLineItemsDeleted,SalesTransactionId,2
fsp-165587,dbo,UK_SalesTransactionLineItemsDeleted,fsp-165587,dbo,SalesTransactionLineItemsDeleted,LineItemId,3
fsp-165587,dbo,PK_SalesTransactionPayments,fsp-165587,dbo,SalesTransactionPayments,_RowNumber,1
fsp-165587,dbo,UK_SalesTransactionPayments,fsp-165587,dbo,SalesTransactionPayments,OperatorId,1
fsp-165587,dbo,UK_SalesTransactionPayments,fsp-165587,dbo,SalesTransactionPayments,SalesTransactionId,2
fsp-165587,dbo,UK_SalesTransactionPayments,fsp-165587,dbo,SalesTransactionPayments,PaymentId,3
fsp-165587,dbo,PK_SalesTransactionPaymentsDeleted,fsp-165587,dbo,SalesTransactionPaymentsDeleted,_RowNumber,1
fsp-165587,dbo,UK_SalesTransactionPaymentsDeleted,fsp-165587,dbo,SalesTransactionPaymentsDeleted,OperatorId,1
fsp-165587,dbo,UK_SalesTransactionPaymentsDeleted,fsp-165587,dbo,SalesTransactionPaymentsDeleted,SalesTransactionId,2
